No,CONVENIO,OPERADOR,DEPARTAMENTO,MUNICIPIO,VEREDA,NOMBRE DE LA ZONA WIFI,DIRECCIÓN,TOTAL APS,CAPACIDAD DE USUARIOS PERMITIDOS,UBICACIÓN,VELOCIDAD DE SUBIDA,VELOCIDAD DE DESCARGA,HORARIO,SERVICIOS
1,513,UNE,RISARALDA,PEREIRA,ALTAGRACIA,ALTAGRACIA,PARQUE PRINCIPAL ALTAGRACIA,2,"1,000",(4.740152 -75.712668),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
2,513,UNE,RISARALDA,PEREIRA,ALTAGRACIA,CORREGIMIENTO DE ALTAGRACIA,ALTAGRACIA LEON SUAREZ,2,"1,000",(4.741060 -75.711979),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
3,3829,UNE,RISARALDA,PEREIRA,ALTAGRACIA,LA CABAÑITA,LA CABAÑITA,1,500,(4.738166-75.711814),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
4,513,UNE,RISARALDA,PEREIRA,ARABIA,ARABIA,PARQUE DE ARABIA,2,"1,000",(4.718851 -75.716752),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
5,789,UNE,RISARALDA,PEREIRA,ARABIA,ARABIA,BARRIO ESPERANZA YARUMAL,1,500,"(4,719361-75,680722)",ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
6,513,UNE,RISARALDA,PEREIRA,BOSTON,BOSTON,PARQUE DE BOSTON (CANCHA SINTETICA),2,"1,000",(4.800170 -75.696537),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
7,513,UNE,RISARALDA,PEREIRA,BOSTON,CENTRAL,PARQUE DEL BARRIO CENTRAL,2,"1,000",(4.795824 -75.694826),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
8,513,UNE,RISARALDA,PEREIRA,BOSTON,LA UNIDAD,BARRIO LA UNIDAD ( CASETA ),2,"1,000",(4.793526 -75.698173),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
9,513,UNE,RISARALDA,PEREIRA,BOSTON,LAS GAVIOTAS,CANCHA GAVIOTAS,2,"1,000",(4.797481 -75.697613),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
10,513,UNE,RISARALDA,PEREIRA,BOSTON,PARQUE MEJIA ROBLEDO,PARQUE MEJIA ROBLEDO,2,"1,000",(4.806175 -75.694282),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
11,513,UNE,RISARALDA,PEREIRA,BOSTON,ZW_LA_LAGUNA,CRA. 22 #24-62 A 24-90,1,500,(4.802225 -75.700054),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
12,513,UNE,RISARALDA,PEREIRA,BOSTON,BOSTON FLORIDA,CRA. 24 BIS #21B-2 A 21B-30,2,1000,(4.800667 -75.698825),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
13,513,UNE,RISARALDA,PEREIRA,CAIMALITO,CAIMALITO,BOMBEROS CAIMALITO,2,"1,000",(4.888525 -75.882453),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
14,513,UNE,RISARALDA,PEREIRA,CAIMALITO,CAIMALITO,COLEGIO GABRIEL TRUJILLO CAIMALITO,2,"1,000",(4.887646 -75.879849),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
15,513,UNE,RISARALDA,PEREIRA,CAIMALITO,CAIMALITO CENTRO,CASETA COMUNAL CAIMALITO CENTRO,2,"1,000",(4.816101 -75.690776),ABIERTO,ABIERTO,24 HORAS,ACCESO A INTERNET GRATUITO
